2026-05-26T19:40:37-04:00
Running ./build/run_benchmarks
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.19, 2.73, 2.76
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"FLOPS"
"BENCHMARK_dot_baseline/262144",3017,232666,232618,ns,,,,,,2.25385e+09
"BENCHMARK_dot_baseline/524288",1487,478896,476216,ns,,,,,,2.20189e+09
"BENCHMARK_dot_baseline/1048576",752,937816,937335,ns,,,,,,2.23736e+09
"BENCHMARK_nrm2_baseline/16384",49533,14344.9,14341.2,ns,,,,,,2.28488e+09
"BENCHMARK_nrm2_baseline/32768",24329,28326.4,28325.7,ns,,,,,,2.31366e+09
"BENCHMARK_nrm2_baseline/65536",12271,56610,56605.2,ns,,,,,,2.31555e+09
"BENCHMARK_nrm2_baseline/131072",6032,114523,114496,ns,,,,,,2.28956e+09
"BENCHMARK_nrm2_baseline/262144",3003,232284,232108,ns,,,,,,2.25881e+09
"BENCHMARK_nrm2_baseline/524288",1538,465835,465377,ns,,,,,,2.25317e+09
"BENCHMARK_nrm2_baseline/1048576",745,911353,911282,ns,,,,,,2.30132e+09
"BENCHMARK_gemv_baseline/64",438616,1608.54,1594.45,ns,,,,,,5.13782e+09
"BENCHMARK_gemv_baseline/128",84429,8693.19,8455.27,ns,,,,,,3.87545e+09
"BENCHMARK_gemv_baseline/256",18824,37330.5,37212.4,ns,,,,,,3.52226e+09
"BENCHMARK_gemv_baseline/512",3705,189394,189327,ns,,,,,,2.76921e+09
"BENCHMARK_gemv_baseline/1024",845,844864,842783,ns,,,,,,2.48836e+09
"BENCHMARK_ger_baseline/64",1429590,486.284,485.194,ns,,,,,,1.6884e+10
"BENCHMARK_ger_baseline/128",345553,2017.98,2014.84,ns,,,,,,1.62633e+10
"BENCHMARK_ger_baseline/256",58425,12020.7,11988.6,ns,,,,,,1.09331e+10
"BENCHMARK_ger_baseline/512",14778,48904.2,48755.4,ns,,,,,,1.07534e+10
"BENCHMARK_ger_baseline/1024",3655,219676,218315,ns,,,,,,9.60606e+09
"BENCHMARK_gemm_baseline/64",4472,154657,154627,ns,,,,,,3.39066e+09
"BENCHMARK_gemm_baseline/128",460,1.52418e+06,1.52402e+06,ns,,,,,,2.75214e+09
"BENCHMARK_gemm_baseline/256",45,1.54584e+07,1.54381e+07,ns,,,,,,2.17349e+09
"BENCHMARK_gemm_baseline/512",5,1.45087e+08,1.45069e+08,ns,,,,,,1.8504e+09
"BENCHMARK_gemm_baseline/1024",1,1.23031e+09,1.23012e+09,ns,,,,,,1.74575e+09
